,group,r2,mse
0,0,0.533162033,1.038233521
1,1,0.316171249,1.697425742
2,2,0.897407853,0.298546264
3,3,0.306691544,2.444817469
4,4,0.814808184,0.061967172
5,5,-2.533596131,0.610045144
6,6,-4.43337115,1.156142202
7,7,0.982539263,0.045739099
8,8,0.971298998,0.068052306
9,9,0.991898241,0.016979529
10,10,0.98970292,0.025364047
11,13,0.990048835,0.029649585
12,14,0.985040428,0.036934006
13,15,0.953816171,0.212660518
14,16,0.993053458,0.021913969
15,17,0.862665578,0.635899829
16,18,0.870493552,0.378095788
17,19,0.9338643,0.269227288
18,20,0.992216323,0.020014387
19,21,0.96670506,0.078642519
20,22,0.814750127,0.265926545
21,23,0.979745693,0.082557114
22,24,0.974872968,0.078588137
23,25,0.962049192,0.269282348
24,26,0.9828065,0.083811082
25,27,0.972753534,0.174688018
26,28,0.981540276,0.077189376
27,29,0.973681459,0.148538194
28,30,0.972083942,0.11249809
29,31,0.815066995,0.668447192
30,32,0.251007474,1.74591036
31,33,0.974867168,0.047957816
32,34,0.561179568,0.917153211
33,35,0.983356793,0.06104954
34,36,0.957385347,0.112651091
35,37,0.974069382,0.092913398
36,38,0.907399696,0.212003453
37,39,0.992788399,0.02054895
38,40,0.931577495,0.11423437
39,41,0.967677914,0.058829138
40,42,0.117845778,0.799399527
41,43,0.458023118,3.638493205
42,44,0.06183776,3.384704048
43,45,0.948537567,0.254723285
44,46,0.955546448,0.331711782
45,47,-1.406630159,4.758850421
46,48,0.599228884,1.59919135
47,49,-4.546181883,2.223136073
48,50,0.613700858,0.721915234
49,51,0.925818513,0.442737827
50,52,0.525711054,1.604083933
51,53,0.713527724,2.478747225
52,54,0.478544786,3.319339562
53,56,0.85832312,0.819210814
54,57,0.918799594,0.332539339
55,58,0.991691024,0.034940809
56,59,0.985666207,0.035543944
57,60,0.991283611,0.027810498
58,61,0.835217669,0.327808411
59,62,0.618272159,0.877195033
60,63,0.079858005,1.319999124
61,64,0.947682895,0.398507261
62,65,0.986899403,0.066877876
63,66,0.885707243,0.544981661
64,67,0.683316839,0.808096303
65,68,0.931316455,0.165312387
66,69,0.978403988,0.034432067
67,70,-1.456709825,1.878926873
68,71,0.947762832,0.029268622
69,72,0.949698297,0.020097129
70,73,0.815018815,0.105085816
71,74,0.964489516,0.014942185
72,75,0.666265617,0.105117802
73,76,0.849458174,0.098133357
74,77,0.533787581,0.218135429
75,78,0.967934313,0.016883839
76,79,0.722546179,0.124260613
77,80,0.960581895,0.012436099
78,81,0.924643073,0.039404136
79,82,0.955554951,0.027021893
80,83,0.93400828,0.033125424
81,84,0.959255124,0.018408901
