,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,Unnamed: 25,K,n,R2
0,1.0,0,Maxsorb III,n-butane,0.0,0.0,0.0,0.0,0.6722,1.615,3140.0,2.01,0.31,1.7,,,,328.0,0.2525,7.100825877494838,2323,-1.3763440302667225,1.960211098056454,3.3365551283231767,E&E,,9.883598101999288,0.17794133434466516,0.9567751287792726
9,,9,,n-butane,0.0,0.0,0.0,0.0,0.6722,1.615,3140.0,2.01,0.31,1.7,,,,318.0,0.2086,7.384721266345493,2324,-1.567336736415465,1.9994131720544615,3.5667499084699266,E&E,,10.59187482868031,0.16798091880759336,0.9428690676158605
18,,18,,n-butane,0.0,0.0,0.0,0.0,0.6722,1.615,3140.0,2.01,0.31,1.7,,,,308.0,0.1733,7.672057811424639,2325,-1.7527310822605766,2.037584872931349,3.790315955191925,E&E,,11.372307335030083,0.16090968389729113,0.913547603423593
27,,27,,n-butane,0.0,0.0,0.0,0.0,0.6722,1.615,3140.0,2.01,0.31,1.7,,,,298.0,0.1497,8.026496902959394,2326,-1.8991219875565544,2.082748181585316,3.9818701691418705,E&E,,12.258503648681247,0.1600807282174755,0.9077979789520375
36,2.0,0,PAC,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,599.0,0.66,,,,,,278.0,0.00992555831265507,0.680672268907562,2327,-4.612642200826794,-0.38467433843909205,4.227967862387702,E&E,,2.610774826581342,0.2587940154694856,0.9942191196135802
54,,18,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,599.0,0.66,,,,,,298.0,0.032258064516129,0.781512605042017,2328,-3.433987204485147,-0.24652399995827318,3.187463204526874,E&E,,2.233700988386602,0.27601752913936417,0.993650852734083
68,,32,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,599.0,0.66,,,,,,318.0,0.0124069478908188,0.428571428571428,2329,-4.389498649512587,-0.847297860387205,3.542200789125382,E&E,,1.9352702384728975,0.32759760236206276,0.9948538319757998
81,,43,PAC,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1150.0,0.72,,,,,,293.15,0.23529,1.156,2330,-1.4469364830894522,0.14496577025018564,1.5919022533396379,E&E,,3.473597320725642,0.2576426035267871,0.8269286517690753
90,,52,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1150.0,0.72,,,,,,303.15,0.33009,1.169,2331,-1.1083899344322061,0.15614868248993138,1.2645386169221375,E&E,,3.1008729435734415,0.2719651500982505,0.8149173454849497
99,,61,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1150.0,0.72,,,,,,313.15,0.33411,1.071,2332,-1.0962849989090184,0.06859279146561167,1.1648777903746301,E&E,,2.829725907934911,0.2957550931937613,0.8731519138647346
108,,70,PAC,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,1150.0,0.72,,,,,,293.15,0.3472999999999999,1.368,2333,-1.057566319232109,0.3133498192003588,1.3709161384324677,E&E,,3.3661427836514037,0.2587099414168569,0.8655245442726107
119,3.0,0,C600-3,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1971.0,0.95,,,88.6,10.08,1.31,298.0,0.0105040214477212,0.604252010723861,2334,-4.5559971001214645,-0.503763931768399,4.052233168353066,E&E,,6.426801664898853,0.45854676648523934,0.9965531025917596
