,index
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,7
89,7
90,8
91,8
92,8
93,8
94,8
95,8
96,8
97,8
98,8
99,9
100,9
101,9
102,9
103,9
104,9
105,9
106,9
107,9
108,10
109,10
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,11
120,11
121,11
122,11
123,11
124,11
125,11
126,11
127,11
128,12
129,12
130,12
131,12
132,12
133,12
134,12
135,12
136,12
137,13
138,13
139,13
140,13
141,13
142,13
143,13
144,13
145,13
146,13
147,13
148,13
149,14
150,14
151,14
152,14
153,14
154,14
155,14
156,14
157,14
158,14
159,14
160,14
161,15
162,15
163,15
164,15
165,15
166,15
167,15
168,15
169,15
170,15
171,15
172,15
173,16
174,16
175,16
176,16
177,16
178,16
179,16
180,16
181,16
182,16
183,16
184,16
185,17
186,17
187,17
188,17
189,17
190,17
191,17
192,17
193,17
194,17
195,17
196,17
197,18
198,18
199,18
200,18
201,18
202,18
203,18
204,18
205,18
206,18
207,18
208,18
209,19
210,19
211,19
212,19
213,19
214,19
215,19
216,19
217,19
218,19
219,19
220,19
221,20
222,20
223,20
224,20
225,20
226,20
227,20
228,20
229,20
230,20
231,20
232,20
233,21
234,21
235,21
236,21
237,21
238,21
239,21
240,21
241,21
242,21
243,21
244,21
245,22
246,22
247,22
248,22
249,22
250,22
251,22
252,22
253,22
254,22
255,22
256,23
257,23
258,23
259,23
260,23
261,23
262,23
263,23
264,23
265,23
266,23
267,24
268,24
269,24
270,24
271,24
272,24
273,24
274,24
275,24
276,24
277,24
278,25
279,25
280,25
281,25
282,25
283,25
284,25
285,25
286,25
287,25
288,26
289,26
290,26
291,26
292,26
293,26
294,26
295,26
296,26
297,26
298,26
299,27
300,27
301,27
302,27
303,27
304,27
305,27
306,27
307,27
308,27
309,27
310,27
311,28
312,28
313,28
314,28
315,28
316,28
317,28
318,28
319,28
320,28
321,28
322,28
323,29
324,29
325,29
326,29
327,29
328,29
329,29
330,29
331,29
332,30
333,30
334,30
335,30
336,30
337,30
338,30
339,30
340,30
341,30
342,30
343,31
344,31
345,31
346,31
347,31
348,31
349,31
350,31
351,31
352,31
353,32
354,32
355,32
356,32
357,32
358,32
359,32
360,32
361,32
362,32
363,33
364,33
365,33
366,33
367,33
368,33
369,33
370,33
371,33
372,34
373,34
374,34
375,34
376,34
377,34
378,34
379,34
380,34
381,34
382,34
383,35
384,35
385,35
386,35
387,35
388,35
389,35
390,35
391,35
392,35
393,35
394,36
395,36
396,36
397,36
398,36
399,36
400,36
401,36
402,36
403,36
404,36
405,36
406,37
407,37
408,37
409,37
410,37
411,37
412,37
413,37
414,37
415,37
416,38
417,38
418,38
419,38
420,38
421,38
422,38
423,38
424,38
425,39
426,39
427,39
428,39
429,39
430,39
431,39
432,39
433,39
434,39
435,40
436,40
437,40
438,40
439,40
440,40
441,40
442,40
443,40
444,40
445,41
446,41
447,41
448,41
449,41
450,41
451,41
452,41
453,41
454,41
455,42
456,42
457,42
458,42
459,42
460,42
461,42
462,42
463,42
464,43
465,43
466,43
467,43
468,43
469,43
470,43
471,43
472,44
473,44
474,44
475,44
476,44
477,44
478,44
479,44
480,44
481,45
482,45
483,45
484,45
485,45
486,45
487,45
488,45
489,46
490,46
491,46
492,46
493,46
494,46
495,46
496,46
497,47
498,47
499,47
500,47
501,47
502,47
503,48
504,48
505,48
506,48
507,48
508,48
509,48
510,48
511,49
512,49
513,49
514,49
515,49
516,49
517,49
518,50
519,50
520,50
521,50
522,50
523,50
524,50
525,50
526,51
527,51
528,51
529,51
530,51
531,51
532,51
